Player,Image,Number,Salary,Tm,Pos,Birthday,Age,height,weight,Draft
Joel Embiid,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png,21,"$31,579,390",Philadelphia 76ers,C,3/16/1994,27,7-0 / 2.13,250 lbs. / 113.4 kg.,1 3 2014
Drew Eubanks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629234.png,14,"$1,762,796",San Antonio Spurs,C,2/1/1997,24,6-9 / 2.06,250 lbs. / 113.4 kg.,-
Tacko Fall,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629605.png,99,"$462,629",Cleveland Cavaliers,C,12/10/1995,27,7-5 / 2.26,311 lbs. / 141.1 kg.,-
Derrick Favors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202324.png,14,"$9,720,900",Oklahoma City Thunder,F,7/15/1991,30,6-9 / 2.06,246 lbs. / 111.6 kg.,1 3 2010
Bruno Fernando,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png,24,"$1,782,621",Boston Celtics,F,8/15/1998,23,6-9 / 2.06,245 lbs. / 111.1 kg.,2 34 2019
Dorian Finney-Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png,10,"$4,000,000",Dallas Mavericks,F,5/4/1993,28,6-7 / 2.01,213 lbs. / 96.6 kg.,-
Malik Fitts,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630238.png,24,"$462,629",Utah Jazz,F,7/4/1997,24,6-8 / 2.03,230 lbs. / 104.3 kg.,-
Malachi Flynn,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630201.png,8,"$2,048,040",Toronto Raptors,G,5/10/1998,23,6-1 / 1.85,185 lbs. / 83.9 kg.,1 29 2020
Bryn Forbes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627854.png,11,"$4,500,000",San Antonio Spurs,G,7/23/1993,28,6-2 / 1.88,187 lbs. / 84.8 kg.,-
Trent Forrest,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630235.png,3,"$462,629",Utah Jazz,G,6/12/1998,23,6-4 / 1.93,210 lbs. / 95.3 kg.,-
Evan Fournier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png,94,"$17,142,857",New York Knicks,G,10/29/1992,29,6-7 / 2.01,190 lbs. / 86.2 kg.,1 20 2012
De'Aaron Fox,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png,-,"$28,103,500",Sacramento Kings,G,-,-,6-3 / 1.91,171 lbs. / 77.6 kg.,-
Daniel Gafford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png,12,"$1,782,621",Washington Wizards,F,10/1/1998,23,6-10 / 2.08,234 lbs. / 106.1 kg.,2 38 2019
Danilo Gallinari,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png,8,"$20,475,000",Atlanta Hawks,F,8/8/1988,33,6-10 / 2.08,225 lbs. / 102.1 kg.,1 6 2008
Darius Garland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png,10,"$7,040,880",Cleveland Cavaliers,G,1/26/2000,21,6-1 / 1.85,175 lbs. / 79.4 kg.,1 5 2019
Marcus Garrett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630585.png,0,"$462,629",Miami Heat,G,11/9/1998,24,6-5 / 1.96,205 lbs. / 93 kg.,-
Usman Garuba,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630586.png,16,"$2,353,320",Houston Rockets,F-C,3/9/2002,19,6-8 / 2.03,220 lbs. / 99.8 kg.,1 23 2021
Luka Garza,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630568.png,55,"$925,258",Detroit Pistons,C,12/27/1998,24,6-11 / 2.11,243 lbs. / 110.2 kg.,2 52 2021
Paul George,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png,24,"$39,344,970",Los Angeles Clippers,F,5/2/1990,31,6-8 / 2.03,210 lbs. / 95.3 kg.,1 10 2010
Taj Gibson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201959.png,22,"$4,910,000",New York Knicks,F,6/24/1985,36,6-9 / 2.06,225 lbs. / 102.1 kg.,1 26 2009
Josh Giddey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630581.png,3,"$5,988,000",Oklahoma City Thunder,G,10/10/2002,19,6-8 / 2.03,192 lbs. / 87.1 kg.,1 6 2021
Shai Gilgeous-Alexander,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png,2,"$5,495,532",Oklahoma City Thunder,G,7/12/1998,23,6-5 / 1.96,180 lbs. / 81.6 kg.,1 11 2018
Rudy Gobert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203497.png,27,"$34,844,000",Utah Jazz,C,6/26/1992,29,7-1 / 2.16,255 lbs. / 115.7 kg.,1 27 2013
Aaron Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,00,"$16,409,091",Denver Nuggets,F,9/16/1995,26,6-8 / 2.03,220 lbs. / 99.8 kg.,1 4 2014
Eric Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png,10,"$18,218,818",Houston Rockets,G,12/25/1988,34,6-3 / 1.91,215 lbs. / 97.5 kg.,1 7 2008
Devonte' Graham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png,-,"$11,000,000",New Orleans Pelicans,G,-,-,6-1 / 1.85,185 lbs. / 83.9 kg.,-
Jerami Grant,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203924.png,39,"$20,002,500",Detroit Pistons,F,3/12/1994,27,6-8 / 2.03,214 lbs. / 97.1 kg.,2 39 2014
Danny Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png,14,"$10,000,000",Philadelphia 76ers,G,6/22/1987,34,6-6 / 1.98,209 lbs. / 94.8 kg.,2 46 2009
Draymond Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png,23,"$24,026,712",Golden State Warriors,F,3/14/1990,31,6-6 / 1.98,230 lbs. / 104.3 kg.,2 35 2012
Jalen Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630224.png,0,"$8,992,080",Houston Rockets,G,2/9/2002,19,6-5 / 1.96,170 lbs. / 77.1 kg.,1 2 2021
JaMychal Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203210.png,41,"$8,200,000",Denver Nuggets,F,6/21/1990,31,6-8 / 2.03,220 lbs. / 99.8 kg.,-
Javonte Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629750.png,43,"$1,669,178",Chicago Bulls,G,7/23/1993,28,6-4 / 1.93,220 lbs. / 99.8 kg.,-
Jeff Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201145.png,22,"$4,500,000",Denver Nuggets,F,8/28/1986,35,6-8 / 2.03,235 lbs. / 106.6 kg.,1 5 2007
Josh Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630182.png,8,"$2,957,520",Dallas Mavericks,G,11/16/2000,22,6-6 / 1.98,210 lbs. / 95.3 kg.,1 18 2020
Blake Griffin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png,32,"$32,405,817",Brooklyn Nets,F,3/16/1989,32,6-9 / 2.06,252 lbs. / 114.3 kg.,1 1 2009
Quentin Grimes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629656.png,6,"$2,168,640",New York Knicks,G,5/8/2000,21,6-5 / 1.96,205 lbs. / 93 kg.,1 25 2021
Tyrese Haliburton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630169.png,0,"$4,023,600",Sacramento Kings,G,2/29/2000,21,6-5 / 1.96,175 lbs. / 79.4 kg.,1 12 2020
RJ Hampton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630181.png,13,"$2,303,040",Orlando Magic,G,2/7/2001,20,6-6 / 1.98,195 lbs. / 88.5 kg.,1 24 2020
Tim Hardaway Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203501.png,5,"$21,306,816",Dallas Mavericks,G,3/16/1992,29,6-5 / 1.96,199 lbs. / 90.3 kg.,1 24 2013
James Harden,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png,13,"$44,310,840",Brooklyn Nets,G,8/26/1989,32,6-5 / 1.96,220 lbs. / 99.8 kg.,1 3 2009
Maurice Harkless,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203090.png,21,-,-,-,5/11/1993,28,-,-,1 15 2012
Montrezl Harrell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png,35,"$9,720,900",Washington Wizards,F-C,1/26/1994,27,6-7 / 2.01,253 lbs. / 114.8 kg.,2 32 2015
Gary Harris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png,14,"$20,932,143",Orlando Magic,G,9/14/1994,27,6-4 / 1.93,205 lbs. / 93 kg.,1 19 2014
Joe Harris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png,12,"$17,357,143",Brooklyn Nets,G,9/7/1991,30,6-6 / 1.98,215 lbs. / 97.5 kg.,2 33 2014
Tobias Harris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png,15,"$35,995,950",Philadelphia 76ers,F,7/15/1992,29,6-8 / 2.03,226 lbs. / 102.5 kg.,1 19 2011
Josh Hart,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png,5,"$12,000,000",New Orleans Pelicans,G,3/6/1995,26,6-5 / 1.96,204 lbs. / 92.5 kg.,1 30 2017
Isaiah Hartenstein,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628392.png,55,"$1,729,217",Los Angeles Clippers,F-C,5/5/1998,23,7-0 / 2.13,250 lbs. / 113.4 kg.,2 43 2017
Udonis Haslem,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2617.png,40,"$2,641,691",Miami Heat,F,6/9/1980,41,6-8 / 2.03,235 lbs. / 106.6 kg.,-
Jaxson Hayes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629637.png,10,"$5,348,280",New Orleans Pelicans,F-C,5/23/2000,21,6-11 / 2.11,220 lbs. / 99.8 kg.,1 8 2019
Killian Hayes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630165.png,7,"$5,572,680",Detroit Pistons,G,7/27/2001,20,6-5 / 1.96,216 lbs. / 98 kg.,1 7 2020
Gordon Hayward,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png,20,"$29,925,000",Charlotte Hornets,F,3/23/1990,31,6-7 / 2.01,207 lbs. / 93.9 kg.,1 9 2010
Aaron Henry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630565.png,50,"$462,629",Philadelphia 76ers,F,8/30/1999,22,6-6 / 1.98,210 lbs. / 95.3 kg.,-
Juan Hernangomez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,41,"$6,907,815",Boston Celtics,F,9/28/1995,26,6-9 / 2.06,220 lbs. / 99.8 kg.,1 15 2016
Willy Hernangomez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626195.png,14,"$2,327,220",New Orleans Pelicans,C-F,5/27/1994,27,6-11 / 2.11,255 lbs. / 115.7 kg.,2 35 2015
Tyler Herro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629639.png,14,"$4,004,280",Miami Heat,G,1/20/2000,21,6-5 / 1.96,195 lbs. / 88.5 kg.,1 13 2019
Buddy Hield,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png,24,"$23,073,234",Sacramento Kings,G,12/17/1993,29,6-4 / 1.93,212 lbs. / 96.2 kg.,1 6 2016
George Hill,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201588.png,3,"$5,275,491",Milwaukee Bucks,G,5/4/1986,35,6-3 / 1.91,180 lbs. / 81.6 kg.,1 26 2008
Solomon Hill,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203524.png,9,"$2,389,641",Atlanta Hawks,F,3/18/1991,30,6-6 / 1.98,226 lbs. / 102.5 kg.,1 23 2013
Aaron Holiday,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png,3,"$3,980,551",Washington Wizards,G,9/30/1996,25,6-0 / 1.83,185 lbs. / 83.9 kg.,1 23 2018
Jrue Holiday,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png,11,"$32,431,333",Milwaukee Bucks,G,6/12/1990,31,6-3 / 1.91,180 lbs. / 81.6 kg.,1 17 2009
Justin Holiday,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203200.png,14,"$6,006,420",Indiana Pacers,G,4/5/1989,32,6-6 / 1.98,180 lbs. / 81.6 kg.,-
Richaun Holmes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626158.png,22,"$10,384,500",Sacramento Kings,F,10/15/1993,28,6-10 / 2.08,243 lbs. / 110.2 kg.,2 37 2015
Rodney Hood,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203918.png,5,"$2,239,544",Milwaukee Bucks,F,10/20/1992,29,6-8 / 2.03,208 lbs. / 94.3 kg.,1 23 2014
Al Horford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,15,"$27,000,000",Boston Celtics,C,6/3/1986,35,6-9 / 2.06,246 lbs. / 111.6 kg.,1 3 2007
Danuel House,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,4,"$3,894,000",Houston Rockets,F,6/7/1993,28,6-6 / 1.98,220 lbs. / 99.8 kg.,-
Dwight Howard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2730.png,12,"$2,641,691",Los Angeles Lakers,C,12/8/1985,37,6-10 / 2.08,265 lbs. / 120.2 kg.,1 1 2004
Markus Howard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630210.png,00,"$462,629",Denver Nuggets,G,3/3/1999,22,5-9 / 1.75,180 lbs. / 81.6 kg.,-
Kevin Huerter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628989.png,3,"$4,253,357",Atlanta Hawks,G,8/27/1998,23,6-7 / 2.01,190 lbs. / 86.2 kg.,1 19 2018
Elijah Hughes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630190.png,33,"$898,310 ($898,310*)",,F,3/10/1998,23,6-6 / 1.98,215 lbs. / 97.5 kg.,2 39 2020
De'Andre Hunter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png,-,"$7,775,400",Atlanta Hawks,F,-,-,6-7 / 2.01,225 lbs. / 102.1 kg.,-
Chandler Hutchison,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628990.png,15,"$4,482,088",Phoenix Suns,F,4/26/1996,25,6-7 / 2.01,196 lbs. / 88.9 kg.,1 22 2018
Bones Hyland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630538.png,3,"$2,096,880",Denver Nuggets,G,9/14/2000,21,6-3 / 1.91,165 lbs. / 74.8 kg.,1 26 2021
Andre Iguodala,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2738.png,4,"$2,641,691",Golden State Warriors,G-F,1/28/1984,37,6-6 / 1.98,207 lbs. / 93.9 kg.,1 9 2004
Joe Ingles,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204060.png,2,"$13,036,364",Utah Jazz,F,10/2/1987,34,6-7 / 2.01,209 lbs. / 94.8 kg.,-
Brandon Ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,14,"$29,467,800",New Orleans Pelicans,F,9/2/1997,24,6-7 / 2.01,196 lbs. / 88.9 kg.,1 2 2016
Frank Jackson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628402.png,15,"$3,000,000",Detroit Pistons,G,5/4/1998,23,6-3 / 1.91,205 lbs. / 93 kg.,2 31 2017
Isaiah Jackson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630543.png,23,"$2,451,240",Indiana Pacers,F,1/10/2002,19,6-10 / 2.08,205 lbs. / 93 kg.,1 22 2021
Jaren Jackson Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628991.png,13,-,-,-,9/15/1999,22,-,-,1 4 2018
Josh Jackson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628367.png,20,"$5,005,350",Detroit Pistons,F,2/10/1997,24,6-8 / 2.03,203 lbs. / 92.1 kg.,1 4 2017
Reggie Jackson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202704.png,15,"$10,384,500",Los Angeles Clippers,G,4/16/1990,31,6-3 / 1.91,208 lbs. / 94.3 kg.,1 24 2011
LeBron James,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png,23,"$41,180,544",Los Angeles Lakers,F,12/30/1984,38,6-9 / 2.06,250 lbs. / 113.4 kg.,1 1 2003
DeJon Jarreau,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630610.png,17,"$462,629",Indiana Pacers,G,1/23/1998,23,6-5 / 1.96,185 lbs. / 83.9 kg.,-
Ty Jerome,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629660.png,10,"$2,412,840",Oklahoma City Thunder,G,7/8/1997,24,6-5 / 1.96,195 lbs. / 88.5 kg.,1 24 2019
Isaiah Joe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630198.png,7,"$1,517,981",Philadelphia 76ers,G,7/2/1999,22,6-5 / 1.96,180 lbs. / 81.6 kg.,2 49 2020
Alize Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628993.png,24,"$1,729,217",Chicago Bulls,G,4/22/1996,25,6-7 / 2.01,201 lbs. / 91.2 kg.,2 50 2018
Cameron Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629661.png,23,"$4,437,000",Phoenix Suns,F,3/3/1996,25,6-8 / 2.03,210 lbs. / 95.3 kg.,1 11 2019
David Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630525.png,13,"$462,629",Toronto Raptors,G,2/26/2001,20,6-5 / 1.96,210 lbs. / 95.3 kg.,2 47 2021
Jalen Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png,1,"$2,659,680",Atlanta Hawks,F,12/18/2001,21,6-9 / 2.06,215 lbs. / 97.5 kg.,1 20 2021
James Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201949.png,16,"$2,641,691",Brooklyn Nets,F,2/20/1987,34,6-7 / 2.01,245 lbs. / 111.1 kg.,1 16 2009
Keldon Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629640.png,3,"$2,145,720",San Antonio Spurs,F,10/11/1999,22,6-5 / 1.96,211 lbs. / 95.7 kg.,1 29 2019
Nikola Jokic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203999.png,15,"$31,579,390",Denver Nuggets,C,2/19/1995,26,7-0 / 2.13,253 lbs. / 114.8 kg.,2 41 2014
Damian Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png,15,"$1,977,011",Sacramento Kings,C,6/30/1995,26,6-11 / 2.11,240 lbs. / 108.9 kg.,1 30 2016
Derrick Jones Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627884.png,10,"$9,720,900",Chicago Bulls,F,2/15/1997,24,6-6 / 1.98,195 lbs. / 88.5 kg.,-
Herb Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,-,"$1,700,000",New Orleans Pelicans,F,-,-,6-8 / 2.03,206 lbs. / 93.4 kg.,-
Kai Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630539.png,23,"$2,770,560",Charlotte Hornets,F,1/19/2001,20,6-11 / 2.11,212 lbs. / 96.2 kg.,1 19 2021
Tre Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630200.png,33,"$1,517,981",San Antonio Spurs,G,1/8/2000,21,6-3 / 1.91,185 lbs. / 83.9 kg.,2 41 2020
Tyus Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626145.png,1,"$8,376,286",Memphis Grizzlies,G,5/10/1996,25,6-0 / 1.83,185 lbs. / 83.9 kg.,1 24 2015
DeAndre Jordan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201599.png,9,"$10,517,224",Los Angeles Lakers,C,7/21/1988,33,6-11 / 2.11,265 lbs. / 120.2 kg.,2 35 2008
Cory Joseph,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png,5,"$7,310,000",Detroit Pistons,G,8/20/1991,30,6-3 / 1.91,185 lbs. / 83.9 kg.,1 29 2011
Georgios Kalaitzakis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630686.png,18,"$925,258",Milwaukee Bucks,F,1/2/1999,22,6-7 / 2.01,205 lbs. / 93 kg.,2 60 2021
Frank Kaminsky,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626163.png,44,"$2,089,448",Phoenix Suns,C,4/4/1993,28,7-0 / 2.13,231 lbs. / 104.8 kg.,1 9 2015
Enes Kanter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202683.png,0,"$2,641,691",Boston Celtics,C,5/20/1992,29,6-10 / 2.08,262 lbs. / 118.8 kg.,1 3 2011
Luke Kennard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png,5,"$12,727,273",Los Angeles Clippers,F,6/24/1996,25,6-5 / 1.96,196 lbs. / 88.9 kg.,1 12 2017
Corey Kispert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png,24,"$3,383,640",Washington Wizards,F,3/3/1999,22,6-7 / 2.01,220 lbs. / 99.8 kg.,1 15 2021
Maxi Kleber,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628467.png,42,"$8,825,000",Dallas Mavericks,F-C,1/29/1992,29,6-10 / 2.08,211 lbs. / 95.7 kg.,-
Nathan Knight,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630233.png,1,"$462,629",Minnesota Timberwolves,C,9/20/1997,24,6-10 / 2.08,253 lbs. / 114.8 kg.,-
Kevin Knox,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,20,"$5,845,978",New York Knicks,F,8/11/1999,22,6-7 / 2.01,215 lbs. / 97.5 kg.,1 9 2018
John Konchar,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629723.png,46,"$2,200,000",Memphis Grizzlies,G,3/22/1996,25,6-5 / 1.96,210 lbs. / 95.3 kg.,-
Furkan Korkmaz,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627788.png,30,"$4,629,630",Philadelphia 76ers,F,7/24/1997,24,6-7 / 2.01,185 lbs. / 83.9 kg.,1 26 2016
Vit Krejci,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630249.png,27,"$925,258",Oklahoma City Thunder,G,6/19/2000,21,6-8 / 2.03,195 lbs. / 88.5 kg.,2 37 2020
Jonathan Kuminga,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630228.png,00,"$5,466,360",Golden State Warriors,G,10/6/2002,19,6-6 / 1.98,210 lbs. / 95.3 kg.,1 7 2021
Kyle Kuzma,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png,0,"$13,000,000",Washington Wizards,F,7/24/1995,26,6-8 / 2.03,221 lbs. / 100.2 kg.,1 27 2017
Jeremy Lamb,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203087.png,11,"$10,500,000",Indiana Pacers,G,5/30/1992,29,6-5 / 1.96,180 lbs. / 81.6 kg.,1 12 2012
Jock Landale,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629111.png,34,"$925,258",San Antonio Spurs,C,10/25/1995,26,6-11 / 2.11,255 lbs. / 115.7 kg.,-
Romeo Langford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629641.png,45,"$3,804,360",Boston Celtics,G,10/25/1999,22,6-4 / 1.93,216 lbs. / 98 kg.,1 14 2019
Zach LaVine,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203897.png,8,"$19,500,000",Chicago Bulls,G,3/10/1995,26,6-6 / 1.98,181 lbs. / 82.1 kg.,1 13 2014
Jake Layman,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627774.png,10,"$3,940,184",Minnesota Timberwolves,F,3/7/1994,27,6-8 / 2.03,209 lbs. / 94.8 kg.,2 47 2016
Damion Lee,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627814.png,8,"$1,910,860",Golden State Warriors,G,10/21/1992,29,6-5 / 1.96,210 lbs. / 95.3 kg.,-
Saben Lee,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630240.png,38,"$1,489,065",Detroit Pistons,G,6/23/1999,22,6-2 / 1.88,183 lbs. / 83 kg.,2 38 2020
Alex Len,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203458.png,21,"$3,732,000",Sacramento Kings,C,6/16/1993,28,7-0 / 2.13,225 lbs. / 102.1 kg.,1 5 2013
Caris LeVert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png,22,"$17,500,000",Indiana Pacers,G,8/25/1994,27,6-6 / 1.98,191 lbs. / 86.6 kg.,1 20 2016
Kira Lewis Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630184.png,13,"$3,822,240",New Orleans Pelicans,G,4/6/2001,20,6-3 / 1.91,165 lbs. / 74.8 kg.,1 13 2020
Damian Lillard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203081.png,0,"$39,344,900",Portland Trail Blazers,G,7/15/1990,31,6-2 / 1.88,195 lbs. / 88.5 kg.,1 6 2012
